Timestamp,CAN_ID,DLC,Data_Payload
1716670800.000000,0x100,8,0102030405060708
1716670800.001234,0x101,4,AABBCCDD
1716670800.002567,0x200,8,F0E1D2C3B4A59687
1716670800.003890,0x300,1,05
1716670800.005123,0x400,8,1122334455667788
1716670800.006456,0x102,3,ABCDEF
1716670800.007789,0x201,8,0000000000000000
1716670800.009122,0x500,2,0F0F
1716670800.010455,0x100,8,0102030405060708
1716670800.011788,0x101,4,AABBCCDD
1716670800.013121,0x200,8,F0E1D2C3B4A59687
1716670800.014454,0x300,1,06
1716670800.015787,0x400,8,1122334455667788
1716670800.017120,0x102,3,ABCDEF
1716670800.018453,0x201,8,0000000000000000
1716670800.019786,0x500,2,0F0F
1716670800.021119,0x100,8,0102030405060708
1716670800.022452,0x101,4,AABBCCDD
1716670800.023785,0x200,8,F0E1D2C3B4A59687
1716670800.025118,0x300,1,07
1716670800.026451,0x400,8,1122334455667788
1716670800.027784,0x102,3,ABCDEF
1716670800.029117,0x201,8,0000000000000000
1716670800.030450,0x500,2,0F0F
1716670800.031783,0x100,8,0102030405060708
1716670800.033116,0x101,4,AABBCCDD
1716670800.034449,0x200,8,F0E1D2C3B4A59687
1716670800.035782,0x300,1,08
1716670800.037115,0x400,8,1122334455667788
1716670800.038448,0x102,3,ABCDEF
1716670800.039781,0x201,8,0000000000000000
1716670800.041114,0x500,2,0F0F
1716670800.042447,0x100,8,0102030405060708
1716670800.043780,0x101,4,AABBCCDD
1716670800.045113,0x200,8,F0E1D2C3B4A59687
1716670800.046446,0x300,1,09
1716670800.047779,0x400,8,1122334455667788
1716670800.049112,0x102,3,ABCDEF
1716670800.050445,0x201,8,0000000000000000
1716670800.051778,0x500,2,0F0F
1716670800.053111,0x100,8,0102030405060708
1716670800.054444,0x101,4,AABBCCDD
1716670800.055777,0x200,8,F0E1D2C3B4A59687
1716670800.057110,0x300,1,0A
1716670800.058443,0x400,8,1122334455667788
1716670800.059776,0x102,3,ABCDEF
1716670800.061109,0x201,8,0000000000000000
1716670800.062442,0x500,2,0F0F
1716670800.063775,0x100,8,0102030405060708
1716670800.065108,0x101,4,AABBCCDD
1716670800.066441,0x200,8,F0E1D2C3B4A59687
1716670800.067774,0x300,1,0B
1716670800.069107,0x400,8,1122334455667788
1716670800.070440,0x102,3,ABCDEF
1716670800.071773,0x201,8,0000000000000000
1716670800.073106,0x500,2,0F0F
1716670800.074439,0x100,8,0102030405060708
1716670800.075772,0x101,4,AABBCCDD
1716670800.077105,0x200,8,F0E1D2C3B4A59687
1716670800.078438,0x300,1,0C
1716670800.079771,0x400,8,1122334455667788
1716670800.081104,0x102,3,ABCDEF
1716670800.082437,0x201,8,0000000000000000
1716670800.083770,0x500,2,0F0F
1716670800.085103,0x100,8,0102030405060708
1716670800.086436,0x101,4,AABBCCDD
1716670800.087769,0x200,8,F0E1D2C3B4A59687
1716670800.089102,0x300,1,0D
1716670800.090435,0x400,8,1122334455667788
1716670800.091768,0x102,3,ABCDEF
1716670800.093101,0x201,8,0000000000000000
1716670800.094434,0x500,2,0F0F
1716670800.095767,0x100,8,0102030405060708
1716670800.097100,0x101,4,AABBCCDD
1716670800.098433,0x200,8,F0E1D2C3B4A59687
1716670800.099766,0x300,1,0E
1716670800.101099,0x400,8,1122334455667788
1716670800.102432,0x102,3,ABCDEF
1716670800.103765,0x201,8,0000000000000000
1716670800.105098,0x500,2,0F0F
1716670800.106431,0x100,8,0102030405060708
1716670800.107764,0x101,4,AABBCCDD
1716670800.109097,0x200,8,F0E1D2C3B4A59687
1716670800.110430,0x300,1,0F
1716670800.111763,0x400,8,1122334455667788
1716670800.113096,0x102,3,ABCDEF
1716670800.114429,0x201,8,0000000000000000
1716670800.115762,0x500,2,0F0F
1716670800.117095,0x100,8,0102030405060708
1716670800.118428,0x101,4,AABBCCDD
1716670800.119761,0x200,8,F0E1D2C3B4A59687
1716670800.121094,0x300,1,10
1716670800.122427,0x400,8,1122334455667788
1716670800.123760,0x102,3,ABCDEF
1716670800.125093,0x201,8,0000000000000000
1716670800.126426,0x500,2,0F0F
1716670800.127759,0x100,8,0102030405060708
1716670800.129092,0x101,4,AABBCCDD
1716670800.130425,0x200,8,F0E1D2C3B4A59687
1716670800.131758,0x300,1,11
1716670800.133091,0x400,8,1122334455667788
1716670800.134424,0x102,3,ABCDEF
1716670800.135757,0x201,8,0000000000000000
1716670800.137090,0x500,2,0F0F
1716670800.138423,0x100,8,0102030405060708
1716670800.139756,0x101,4,AABBCCDD
1716670800.141089,0x200,8,F0E1D2C3B4A59687
1716670800.142422,0x300,1,12
1716670800.143755,0x400,8,1122334455667788
1716670800.145088,0x102,3,ABCDEF
1716670800.146421,0x201,8,0000000000000000
1716670800.147754,0x500,2,0F0F
1716670800.149087,0x100,8,0102030405060708
1716670800.150420,0x101,4,AABBCCDD
1716670800.151753,0x200,8,F0E1D2C3B4A59687
1716670800.153086,0x300,1,13
1716670800.154419,0x400,8,1122334455667788
1716670800.155752,0x102,3,ABCDEF
1716670800.157085,0x201,8,0000000000000000
1716670800.158418,0x500,2,0F0F
1716670800.159751,0x100,8,0102030405060708
1716670800.161084,0x101,4,AABBCCDD
1716670800.162417,0x200,8,F0E1D2C3B4A59687
1716670800.163750,0x300,1,14
1716670800.165083,0x400,8,1122334455667788
1716670800.166416,0x102,3,ABCDEF
1716670800.167749,0x201,8,0000000000000000
